bat_num,temp,profile,U_start_V,U_end_V,file_name,Q_Ah,eta,OCV_file_name,SOC_start,SOC_end,SOH,R0,R,tau,U_rmse
1,25,impulse_72_s,4.11093,4.10372,1_+25_impulse_72_s_01.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,96.57953766467566,95.8491461620067,93.97341111111118,0.046658297457485294,"[0.026392653327967048, -0.012839133657306021]","[14.717540211921936, 5.4591520058440715]",0.002368318318051771
1,25,impulse_144_s,4.10372,4.09365,1_+25_impulse_144_s_02.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,95.8491461620067,94.51609347768525,93.97341111111118,0.04583621123613283,"[0.02814305030422366, -0.01178216117043148]","[34.48678494176658, 30.05891234073363]",0.000985186580183778
1,25,impulse_288_s,4.09365,4.0794,1_+25_impulse_288_s_03.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,94.51609347768525,91.6103787930065,93.97341111111118,0.044436288541579244,"[0.02639665313232317, -0.006190294396990616]","[52.97984432998735, 42.030935197811715]",0.0015427541844876332
1,25,impulse_72_s,4.0794,4.07487,1_+25_impulse_72_s_04.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,91.6103787930065,90.3576629158762,93.97341111111118,0.04413127271772956,"[0.033353721414509305, -0.01605404005857362]","[17.655506063766932, 4.345021453550078]",0.004843311282277512
1,25,impulse_144_s,4.07487,4.06139,1_+25_impulse_144_s_05.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,90.3576629158762,86.57231154098821,93.97341111111118,0.04732434510415083,"[0.47294357380839763, -0.44575254668871717]","[46.9001152179957, 44.839056679051694]",0.0056813847462763665
1,25,impulse_288_s,4.06139,4.02098,1_+25_impulse_288_s_06.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,86.57231154098821,81.48548345153638,93.97341111111118,0.04756755864619908,"[0.15298478013141376, -0.12463932076964218]","[54.52436298765592, 45.52310190209371]",0.0062776276772243365
1,25,impulse_72_s,4.02098,4.009639999999999,1_+25_impulse_72_s_07.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,81.48548345153638,80.42078850548697,93.97341111111118,0.04272245710677928,"[0.03602105524160726, -0.01495814052305039]","[21.867686179475996, 4.680064861250055]",0.004388638511003005
1,25,impulse_144_s,4.009639999999999,3.98689,1_+25_impulse_144_s_08.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,80.42078850548697,78.35021210857332,93.97341111111118,0.04280896987074382,"[0.09349576537631758, -0.06586836304286137]","[40.85810996377306, 33.75842725603192]",0.0027922067595099413
1,25,impulse_288_s,3.98689,3.946800000000001,1_+25_impulse_288_s_09.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,78.35021210857332,74.52753676857644,93.97341111111118,0.04425373898355308,"[0.05328438568380965, -0.02511909417648369]","[65.3916704240248, 46.995773400558626]",0.003195539399808352
1,25,impulse_72_s,3.946800000000001,3.9380700000000006,1_+25_impulse_72_s_10.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,74.52753676857644,73.62132087829656,93.97341111111118,0.04669518487632671,"[0.22286128385883178, -0.2076424807311001]","[9.297871363526072, 7.370218775553174]",0.007473482918662008
1,25,impulse_144_s,3.9380700000000006,3.92163,1_+25_impulse_144_s_11.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,73.62132087829656,71.76953948366418,93.97341111111118,0.045766753487716555,"[0.20834668628429323, -0.17817872076034535]","[46.97708353829703, 41.35463321839603]",0.004169938908522684
1,25,impulse_288_s,3.92163,3.89123,1_+25_impulse_288_s_12.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,71.76953948366418,67.99280587906142,93.97341111111118,0.05076440000238016,"[0.2948189188331005, -0.26712031752157156]","[64.36344628715585, 57.31846698162429]",0.008201597189439386
1,25,impulse_72_s,3.89123,3.88358,1_+25_impulse_72_s_13.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,67.99280587906142,67.01274226802558,93.97341111111118,0.049218899473326874,"[0.1002306931993344, -0.08410497766913944]","[13.177692264602374, 6.977331465229915]",0.011479108082397433
1,25,impulse_144_s,3.88358,3.86684,1_+25_impulse_144_s_14.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,67.01274226802558,64.98366950548203,93.97341111111118,0.05288680282694688,"[5.8862393097928765, -5.857299734514219]","[39.92845890793228, 39.596849304831814]",0.011926934434231345
1,25,impulse_288_s,3.86684,3.81722,1_+25_impulse_288_s_15.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,64.98366950548203,60.344256050319,93.97341111111118,0.05386723499991502,"[3.1180012976880187, -3.091883846956728]","[61.45929316940607, 60.713376671787145]",0.011096254797929332
1,25,impulse_72_s,3.81722,3.796100000000001,1_+25_impulse_72_s_16.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,60.344256050319,58.785562877922494,93.97341111111118,0.0448167280430963,"[0.034409972681138365, -0.016415005185723187]","[26.649807428803655, 4.694379749035975]",0.009185907390088744
1,25,impulse_144_s,3.796100000000001,3.77006,1_+25_impulse_144_s_17.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,58.785562877922494,56.66574425107658,93.97341111111118,0.042000932199359235,"[0.05119529762192832, -0.034725781002371614]","[41.204654770837564, 32.85861552476637]",0.002940701348982245
1,25,impulse_288_s,3.77006,3.72767,1_+25_impulse_288_s_18.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,56.66574425107658,52.590771946769486,93.97341111111118,0.040888367574751595,"[0.018249624517004216, -0.0008452701589227764]","[67.2554662241204, 49.46671792329915]",0.001722383766642726
1,25,impulse_72_s,3.72767,3.71766,1_+25_impulse_72_s_19.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,52.590771946769486,51.59881794100199,93.97341111111118,0.04063484942323044,"[0.02835366729517729, -0.014754231927385886]","[18.475666767040245, 5.054248135282878]",0.0035468952678447104
1,25,impulse_144_s,3.71766,3.69876,1_+25_impulse_144_s_20.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,51.59881794100199,49.65804438649651,93.97341111111118,0.03990573810306339,"[1.1609724694832384, -1.1414798558958348]","[44.3497079386604, 44.14433662175166]",0.0016216852609980583
1,25,impulse_288_s,3.69876,3.66659,1_+25_impulse_288_s_21.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,49.65804438649651,45.98102490400143,93.97341111111118,0.03985259440562769,"[0.027397882497448726, -0.005904280870462242]","[64.97557731718501, 54.50940577356993]",0.0011844913738948166
1,25,impulse_72_s,3.66659,3.65983,1_+25_impulse_72_s_22.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,45.98102490400143,45.11537984455542,93.97341111111118,0.04252565399201973,"[0.039358539959238444, -0.02591313470709894]","[17.643164571504514, 6.320283112694535]",0.004978590496764679
1,25,impulse_144_s,3.65983,3.64707,1_+25_impulse_144_s_23.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,45.11537984455542,43.34332338191093,93.97341111111118,0.04130075818593548,"[0.054722282732898225, -0.031572140954241254]","[50.14165235741782, 35.04990516236989]",0.002677667464118708
1,25,impulse_288_s,3.64707,3.62465,1_+25_impulse_288_s_24.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,43.34332338191093,39.86642805138595,93.97341111111118,0.04237225356411937,"[0.09669120939114027, -0.0714383930485375]","[63.736664341554096, 52.95568517558125]",0.0029149873269998716
1,25,impulse_72_s,3.62465,3.61928,1_+25_impulse_72_s_25.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,39.86642805138595,38.96635076001968,93.97341111111118,0.04468484574225319,"[0.05924264761757252, -0.046944758666081464]","[14.395370523049651, 6.75873610941914]",0.007496998623215018
1,25,impulse_144_s,3.61928,3.60804,1_+25_impulse_144_s_26.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,38.96635076001968,37.08011644203483,93.97341111111118,0.045303223891432425,"[0.1584057655686826, -0.1358088199573832]","[37.328548776248056, 29.973836021301913]",0.006785131696511945
1,25,impulse_288_s,3.60804,3.57429,1_+25_impulse_288_s_27.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,37.08011644203483,31.83329713318221,93.97341111111118,0.046060177877411214,"[0.20241037721105015, -0.1752701391812015]","[60.9491367071588, 52.24213753770208]",0.006060582040766049
1,25,UDDS,4.117360000000001,3.97511,1_+25_UDDS_01.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,97.12818520033149,77.26899062020532,93.97341111111118,0.042988670046473415,"[-0.05544516704407433, 0.0835981114863136]","[70.8688582282819, 63.476067834902935]",0.005253227113747146
1,25,UDDS,3.97511,3.779300000000001,1_+25_UDDS_02.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,77.26899062020532,57.47233680818437,93.97341111111118,0.04025125453221939,"[0.14614712799051416, -0.09671486794685309]","[70.34196540018883, 63.75848060174332]",0.0035116922520397535
1,25,UDDS,3.779300000000001,3.6217699999999993,1_+25_UDDS_03.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,57.47233680818437,39.39556706873943,93.97341111111118,0.03885163493587975,"[0.05812655725784294, -0.02711379505758365]","[70.43697862158312, 64.55489389765953]",0.0012455692145225746
1,25,NEDC,4.111970000000001,3.95637,1_+25_NEDC_01.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,96.67352279376892,75.48680126772565,93.97341111111118,0.044177647855376555,"[-3.106252098349827, 3.1380285248812356]","[76.12695193550682, 76.00372428944772]",0.006064814924656943
1,25,NEDC,3.95637,3.74337,1_+25_NEDC_02.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,75.48680126772565,54.147502389046416,93.97341111111118,0.04356482352573353,"[2.384191218486556, -2.335885648866882]","[76.6982801977665, 75.91917751054542]",0.004662738984604975
