bat_num,temp,Q_Ah,eta,OCV_file_name
1,+25,3.289069388888891,0.9931634680841303,OCV_1_+25.csv
2,+25,3.0566876296296286,1.0,OCV_2_+25.csv
3,+25,3.115264324074073,1.0,OCV_3_+25.csv
4,+25,3.416149564814813,0.9934009800175128,OCV_4_+25.csv
5,+25,3.418968907407408,0.9936093876764711,OCV_5_+25.csv
1,+30,3.293283212962965,0.9929996119291317,OCV_1_+30.csv
2,+30,3.0505827592592567,1.0,OCV_2_+30.csv
3,+30,3.1096894722222177,1.0,OCV_3_+30.csv
4,+30,3.424433888888891,0.9924197562530795,OCV_4_+30.csv
5,+30,3.430343814814815,0.9925083816880633,OCV_5_+30.csv
1,+35,3.291450101851854,0.9917232418533314,OCV_1_+35.csv
2,+35,3.045937527777773,1.0,OCV_2_+35.csv
3,+35,3.1044798518518513,1.0,OCV_3_+35.csv
4,+35,3.4296527777777763,0.9915220086686929,OCV_4_+35.csv
5,+35,3.434986824074076,0.9916899336752896,OCV_5_+35.csv
