bat_num,temp,profile,U_start_V,U_end_V,file_name,Q_Ah,eta,OCV_file_name,SOC_start,SOC_end,SOH
1,25,impulse_72_s,4.11093,4.10372,1_+25_impulse_72_s_01.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,96.57953766467566,95.8491461620067,93.97341111111118
1,25,impulse_144_s,4.10372,4.09365,1_+25_impulse_144_s_02.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,95.8491461620067,94.51609347768525,93.97341111111118
1,25,impulse_288_s,4.09365,4.0794,1_+25_impulse_288_s_03.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,94.51609347768525,91.6103787930065,93.97341111111118
1,25,impulse_72_s,4.0794,4.07487,1_+25_impulse_72_s_04.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,91.6103787930065,90.3576629158762,93.97341111111118
1,25,impulse_144_s,4.07487,4.06139,1_+25_impulse_144_s_05.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,90.3576629158762,86.57231154098821,93.97341111111118
1,25,impulse_288_s,4.06139,4.02098,1_+25_impulse_288_s_06.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,86.57231154098821,81.48548345153638,93.97341111111118
1,25,impulse_72_s,4.02098,4.009639999999999,1_+25_impulse_72_s_07.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,81.48548345153638,80.42078850548697,93.97341111111118
1,25,impulse_144_s,4.009639999999999,3.98689,1_+25_impulse_144_s_08.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,80.42078850548697,78.35021210857332,93.97341111111118
1,25,impulse_288_s,3.98689,3.946800000000001,1_+25_impulse_288_s_09.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,78.35021210857332,74.52753676857644,93.97341111111118
1,25,impulse_72_s,3.946800000000001,3.9380700000000006,1_+25_impulse_72_s_10.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,74.52753676857644,73.62132087829656,93.97341111111118
1,25,impulse_144_s,3.9380700000000006,3.92163,1_+25_impulse_144_s_11.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,73.62132087829656,71.76953948366418,93.97341111111118
1,25,impulse_288_s,3.92163,3.89123,1_+25_impulse_288_s_12.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,71.76953948366418,67.99280587906142,93.97341111111118
1,25,impulse_72_s,3.89123,3.88358,1_+25_impulse_72_s_13.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,67.99280587906142,67.01274226802558,93.97341111111118
1,25,impulse_144_s,3.88358,3.86684,1_+25_impulse_144_s_14.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,67.01274226802558,64.98366950548203,93.97341111111118
1,25,impulse_288_s,3.86684,3.81722,1_+25_impulse_288_s_15.csv,3.289069388888891,0.9931634680841304,OCV_1_+25.csv,64.98366950548203,60.344256050319,93.97341111111118
