"OCV, V","SOC, %"
2.6,0.0
2.6023,0.007828556101229253
2.6055,0.021643655103484073
2.6086,0.0354587541057389
2.6117,0.04927385310799371
2.6149,0.06308895211024854
2.618,0.07691218242446045
2.6211,0.09073541273867236
2.6242,0.10455864305288429
2.6272,0.1183818733670962
2.6303,0.1322051036813081
2.6333,0.14602833399552
2.6363,0.15985156430973194
2.6392,0.17366666331198674
2.6422,0.18748176231424157
2.6451,0.2012968613164964
2.6481,0.2151119603187512
2.651,0.22893519063296314
2.6539,0.24275028963521794
2.6567,0.25656538863747275
2.6595,0.2703804876397276
2.6624,0.2841955866419824
2.6653,0.29801068564423727
2.668,0.3118339159584491
2.6708,0.32565714627266107
2.6736,0.33948037658687297
2.6764,0.35330360690108487
2.6791,0.3671268372152968
2.6817,0.3809500675295087
2.6844,0.3947732978437206
2.6871,0.4085965281579325
2.6897,0.42241975847214447
2.6923,0.43623485747439933
2.6949,0.45005808778861117
2.6975,0.463873186790866
2.7001,0.47769641710507793
2.7026,0.4915196474192899
2.7051,0.5053347464215447
2.7076,0.5191498454237995
2.7101,0.5329649444260542
2.7126,0.5467800434283091
2.7151,0.560595142430564
2.7174,0.5744183727447759
2.7198,0.5882334717470307
2.7222,0.6020567020612426
2.7246,0.6158799323754546
2.7269,0.6297031626896664
2.7292,0.6435263930038783
2.7315,0.6573496233180902
2.7338,0.6711728536323022
2.7361,0.684987952634557
2.7383,0.698811182948769
2.7405,0.7126344132629808
2.7428,0.7264576435771928
2.745,0.7402808738914046
2.7472,0.7541041042056166
2.7494,0.7679273345198284
2.7515,0.7817505648340405
2.7538,0.7955737951482522
2.7559,0.8093970254624642
2.758,0.8232202557766761
2.7602,0.8370353547789309
2.7623,0.8508504537811857
2.7644,0.8646655527834406
2.7664,0.8784887830976525
2.7685,0.8923120134118645
2.7704,0.9061352437260763
2.7725,0.9199584740402883
2.7744,0.9337817043545001
2.7765,0.947604934668712
2.7783,0.9614281649829239
2.7803,0.9752513952971359
2.7822,0.9890746256113478
2.7842,1.0028978559255597
2.7861,1.0167210862397718
2.788,1.0305443165539836
2.7899,1.0443675468681954
2.7918,1.0581907771824073
2.7936,1.0720140074966193
2.7954,1.0858372378108312
2.7972,1.099660468125043
2.799,1.113483698439255
2.8008,1.127306928753467
2.8026,1.141130159067679
2.8043,1.1549533893818908
2.8061,1.1687766196961027
2.8078,1.1825998500103145
2.8095,1.1964230803245264
2.8112,1.2102463106387384
2.813,1.2240695409529503
2.8146,1.2378927712671624
2.8163,1.2517160015813742
2.8179,1.265539231895586
2.8195,1.279354330897841
2.8211,1.2931775612120529
2.8228,1.3070007915262647
2.8243,1.3208240218404765
2.8259,1.3346472521546886
2.8274,1.3484704824689004
2.829,1.3622937127831125
2.8306,1.3761169430973244
2.8321,1.3899401734115362
2.8336,1.4037634037257483
2.8351,1.4175866340399599
2.8366,1.431409864354172
2.8381,1.4452330946683838
2.8396,1.4590563249825959
2.8411,1.4728795552968077
2.8424,1.4867027856110195
2.8439,1.5005260159252316
2.8453,1.5143492462394434
2.8467,1.5281724765536555
2.8481,1.5419957068678671
2.8495,1.5558189371820792
2.851,1.569642167496291
2.8523,1.583457266498546
2.8538,1.5972804968127579
2.8551,1.6111037271269697
2.8564,1.6249269574411818
2.8578,1.6387501877553934
2.8592,1.6525734180696054
2.8605,1.6663966483838173
2.8618,1.6802198786980294
2.8631,1.6940431090122412
2.8645,1.7078663393264533
2.8658,1.721689569640665
2.8671,1.7355127999548767
2.8684,1.749336030269089
2.8697,1.7631592605833006
2.8709,1.7769824908975127
2.8722,1.7908057212117245
2.8735,1.8046289515259366
2.8747,1.8184521818401485
2.8759,1.8322754121543605
2.8772,1.8460986424685724
2.8784,1.859921872782784
2.8796,1.873745103096996
2.8809,1.8875602020992508
2.8821,1.9013834324134629
2.8832,1.9152066627276747
2.8844,1.9290298930418868
2.8856,1.9428531233560986
2.8868,1.9566763536703107
2.888,1.9704995839845223
2.8891,1.9843228142987341
2.8903,1.9981460446129462
2.8915,2.011969274927158
2.8926,2.025784373929413
2.8938,2.0396076042436246
2.8949,2.0534308345578367
2.8961,2.0672540648720488
2.8972,2.081077295186261
2.8984,2.0949005255004725
2.8994,2.108723755814684
2.9005,2.1225469861288966
2.9017,2.136362085131151
2.9028,2.150185315445363
2.9038,2.164008545759575
2.9049,2.177831776073787
2.906,2.191655006387999
2.9071,2.205470105390254
2.9082,2.2192933357044655
2.9093,2.233116566018677
2.9103,2.2469397963328896
2.9114,2.2607630266471013
2.9124,2.2745862569613133
2.9134,2.288409487275525
2.9145,2.302232717589737
2.9155,2.316055947903949
2.9166,2.329879178218161
2.9177,2.3437024085323728
2.9188,2.3575256388465844
2.9198,2.3713488691607965
2.9208,2.3851720994750085
2.9217,2.3989871984772635
2.9227,2.412810428791475
2.9238,2.426633659105687
2.9249,2.4404568894198992
2.9259,2.4542801197341113
2.9269,2.468103350048323
2.9279,2.4819265803625346
2.9288,2.4957498106767466
2.9298,2.5095730409909587
2.9308,2.5233962713051707
2.9318,2.5372195016193824
2.9327,2.5510427319335944
2.9337,2.5648659622478065
2.9346,2.5786891925620186
2.9356,2.59251242287623
2.9366,2.606335653190442
2.9375,2.620158883504654
2.9384,2.633982113818866
2.9394,2.647805344133078
2.9403,2.6616204431353325
2.9412,2.6754355421375875
2.9422,2.689250641139842
2.9431,2.7030657401420974
2.944,2.716888970456309
2.9449,2.7307122007705207
2.9458,2.7445354310847327
2.9467,2.758358661398945
2.9477,2.772181891713157
2.9485,2.7860051220273685
2.9495,2.7998283523415806
2.9504,2.813651582655792
2.9513,2.8274748129700047
2.9522,2.8412980432842163
2.9531,2.855121273598428
2.954,2.86894450391264
2.9549,2.882767734226852
2.9558,2.896590964541064
2.9567,2.9104141948552757
2.9576,2.924237425169488
2.9584,2.9380606554836994
2.9593,2.9518838857979115
2.9601,2.9656989848001665
2.961,2.979514083802421
2.9618,2.993329182804676
2.9627,3.0071524131188876
2.9636,3.0209756434331
2.9644,3.0347988737473117
2.9653,3.048622104061524
2.9662,3.0624372030637783
2.967,3.0762604333779904
2.9678,3.0900836636922024
2.9686,3.103906894006414
2.9695,3.117730124320626
2.9703,3.131553354634838
2.9711,3.14537658494905
2.972,3.159191683951305
2.9728,3.1730149142655164
2.9737,3.186838144579729
2.9744,3.2006613748939405
2.9753,3.2144846052081526
2.976,3.228307835522364
2.9769,3.2421229345246187
2.9777,3.2559461648388313
2.9785,3.269769395153043
2.9793,3.283592625467255
2.9801,3.2974158557814666
2.9808,3.311239086095679
2.9816,3.3250623164098907
2.9823,3.3388855467241028
2.9831,3.3527087770383144
2.9839,3.366532007352526
2.9847,3.3803552376667385
2.9855,3.394170336668993
2.9862,3.407985435671248
2.987,3.4218086659854596
2.9877,3.435631896299672
2.9884,3.4494551266138838
2.9893,3.463278356928096
2.9899,3.4771015872423074
2.9908,3.490924817556519
2.9914,3.5047399165587745
2.9922,3.518563146872986
2.9929,3.532386377187198
2.9937,3.54620960750141
2.9945,3.5600328378156223
2.9952,3.573856068129834
2.9959,3.5876792984440455
2.9966,3.6014943974463005
2.9973,3.615317627760512
2.9981,3.6291408580747246
2.9988,3.6429640883889363
2.9996,3.6567873187031483
3.0003,3.67061054901736
3.001,3.6844337793315725
3.0017,3.698257009645784
3.0024,3.7120802399599957
3.0032,3.7259034702742078
3.0039,3.7397267005884194
3.0046,3.753549930902632
3.0053,3.7673731612168435
3.006,3.781196391531055
3.0067,3.795019621845267
3.0074,3.8088428521594797
3.0081,3.8226660824736913
3.0088,3.836489312787903
3.0095,3.850312543102115
3.0102,3.8641276421043695
3.0109,3.877950872418582
3.0116,3.8917741027327937
3.0122,3.9055973330470053
3.013,3.9194205633612174
3.0137,3.93324379367543
3.0143,3.9470670239896415
3.015,3.960890254303853
3.0156,3.974713484618065
3.0163,3.988536714932277
3.017,4.002359945246489
3.0176,4.016183175560701
3.0182,4.0300064058749125
3.0189,4.043829636189124
3.0197,4.057652866503337
3.0203,4.071467965505591
3.021,4.085291195819804
3.0216,4.099114426134015
3.0223,4.112937656448227
3.0229,4.1267608867624395
3.0236,4.140584117076651
3.0243,4.154407347390863
3.0249,4.168230577705074
3.0255,4.182053808019287
3.0261,4.1958770383334985
3.0268,4.209700268647711
3.0274,4.223523498961923
3.028,4.237346729276134
3.0286,4.251169959590347
3.0293,4.264993189904558
3.0299,4.27881642021877
3.0305,4.292639650532982
3.0311,4.306462880847194
3.0317,4.320286111161406
3.0324,4.334109341475618
3.033,4.34793257178983
3.0336,4.3617558021040415
3.0342,4.375579032418254
3.0348,4.389402262732466
3.0355,4.403225493046677
3.0361,4.417048723360889
3.0367,4.430871953675101
3.0373,4.444695183989313
3.0379,4.458518414303525
3.0385,4.472341644617737
3.0391,4.486164874931949
3.0397,4.499988105246161
3.0403,4.513811335560373
3.041,4.527626434562627
3.0416,4.541449664876839
3.0421,4.5552728951910515
3.0427,4.569096125505263
3.0434,4.582919355819475
3.0439,4.59673445482173
3.0445,4.610557685135942
3.0451,4.624380915450154
3.0457,4.638204145764366
3.0463,4.6520273760785775
3.0469,4.665850606392789
3.0475,4.679673836707002
3.0481,4.693497067021213
3.0487,4.707320297335425
3.0492,4.721143527649637
3.0498,4.734966757963849
3.0504,4.7487899882780615
3.051,4.762613218592273
3.0516,4.776428317594528
3.0522,4.790251547908739
3.0526,4.804074778222952
3.0532,4.817898008537163
3.0538,4.831721238851375
3.0544,4.845544469165588
3.055,4.859367699479799
3.0556,4.873182798482055
3.0561,4.886997897484309
3.0566,4.900821127798521
3.0572,4.914644358112732
3.0578,4.928467588426945
3.0584,4.9422908187411565
3.059,4.956114049055368
3.0595,4.969937279369581
3.0601,4.983760509683792
3.0606,4.997583739998005
3.0612,5.011406970312216
3.0618,5.025230200626428
3.0623,5.03905343094064
3.0629,5.052876661254852
3.0635,5.066699891569064
3.0641,5.080514990571318
3.0646,5.094338220885531
3.0652,5.108161451199742
3.0657,5.121984681513955
