bat_num,temp,profile,U_start_V,U_end_V,file_name
2,+25,UDDS,4.10113,3.9485000000000006,2_+25_UDDS_01.csv
2,+25,UDDS,3.9485000000000006,3.7396299999999996,2_+25_UDDS_02.csv
2,+25,UDDS,3.7396299999999996,3.5665800000000005,2_+25_UDDS_03.csv
2,+25,NEDC,4.10448,3.94053,2_+25_NEDC_01.csv
2,+25,NEDC,3.94053,3.7181100000000002,2_+25_NEDC_02.csv
2,+25,NEDC,3.7181100000000002,3.52918,2_+25_NEDC_03.csv
2,+25,WLTC,4.10469,3.8782900000000007,2_+25_WLTC_01.csv
2,+25,WLTC,3.8782900000000007,3.65651,2_+25_WLTC_02.csv
2,+25,WLTC,3.65651,3.4576000000000002,2_+25_WLTC_03.csv
3,+25,impulse_72_s,4.10345,4.096889999999999,3_+25_impulse_72_s_01.csv
3,+25,impulse_144_s,4.096889999999999,4.08699,3_+25_impulse_144_s_02.csv
3,+25,impulse_288_s,4.08699,4.073570000000001,3_+25_impulse_288_s_03.csv
3,+25,impulse_72_s,4.073570000000001,4.06996,3_+25_impulse_72_s_04.csv
3,+25,impulse_144_s,4.06996,4.0569299999999995,3_+25_impulse_144_s_05.csv
3,+25,impulse_288_s,4.0569299999999995,4.0139900000000015,3_+25_impulse_288_s_06.csv
3,+25,impulse_72_s,4.0139900000000015,4.0025900000000005,3_+25_impulse_72_s_07.csv
3,+25,impulse_144_s,4.0025900000000005,3.979,3_+25_impulse_144_s_08.csv
3,+25,impulse_288_s,3.979,3.9378300000000004,3_+25_impulse_288_s_09.csv
3,+25,impulse_72_s,3.9378300000000004,3.9291399999999994,3_+25_impulse_72_s_10.csv
3,+25,impulse_144_s,3.9291399999999994,3.91237,3_+25_impulse_144_s_11.csv
3,+25,impulse_288_s,3.91237,3.87287,3_+25_impulse_288_s_12.csv
3,+25,impulse_72_s,3.87287,3.8603899999999998,3_+25_impulse_72_s_13.csv
3,+25,impulse_144_s,3.8603899999999998,3.8324800000000003,3_+25_impulse_144_s_14.csv
3,+25,impulse_288_s,3.8324800000000003,3.7865500000000005,3_+25_impulse_288_s_15.csv
3,+25,impulse_72_s,3.7865500000000005,3.7755,3_+25_impulse_72_s_16.csv
3,+25,impulse_144_s,3.7755,3.75432,3_+25_impulse_144_s_17.csv
3,+25,impulse_288_s,3.75432,3.7125500000000002,3_+25_impulse_288_s_18.csv
3,+25,impulse_72_s,3.7125500000000002,3.70251,3_+25_impulse_72_s_19.csv
3,+25,impulse_144_s,3.70251,3.68381,3_+25_impulse_144_s_20.csv
3,+25,impulse_288_s,3.68381,3.6516400000000004,3_+25_impulse_288_s_21.csv
3,+25,impulse_72_s,3.6516400000000004,3.6446499999999995,3_+25_impulse_72_s_22.csv
3,+25,impulse_144_s,3.6446499999999995,3.6305199999999997,3_+25_impulse_144_s_23.csv
3,+25,impulse_288_s,3.6305199999999997,3.5979300000000003,3_+25_impulse_288_s_24.csv
3,+25,impulse_72_s,3.5979300000000003,3.58705,3_+25_impulse_72_s_25.csv
3,+25,impulse_144_s,3.58705,3.5674800000000007,3_+25_impulse_144_s_26.csv
3,+25,impulse_288_s,3.5674800000000007,3.52513,3_+25_impulse_288_s_27.csv
3,+25,UDDS,4.09919,3.9493999999999994,3_+25_UDDS_01.csv
3,+25,UDDS,3.9493999999999994,3.74131,3_+25_UDDS_02.csv
3,+25,UDDS,3.74131,3.5766800000000005,3_+25_UDDS_03.csv
